date,dti,real_rate,regime,real_price_index,y,dti_x_regime,pred_prob
1999-03-31,83.13276463998025,0.1828302478526588,0,100.0,0,0.0,0.32970330293956296
1999-06-30,91.07456177746862,-0.26160088938235243,1,100.86963611357776,0,91.07456177746862,0.88772417995511
1999-09-30,84.0708296765866,1.1535802101103292,0,102.6153956968833,0,0.0,0.32193272844327664
1999-12-31,85.77824452781053,1.5669008915384608,0,102.0766549167659,0,0.0,0.3080408552654334
2000-03-31,88.62236384773033,0.07179704427952815,0,102.92806691192405,0,0.0,0.2856607921426821
2018-12-31,125.56209198322657,0.4356223205478042,0,157.58771744699027,0,0.0,0.09032803714792628
2019-03-31,124.6924643332339,1.2067426388729865,0,158.39002874355853,0,0.0,0.09305927272279038
2019-06-30,127.39190033350654,0.7917129993933927,0,159.49708478805135,0,0.0,0.08481587897742467
2019-09-30,125.17229411716225,1.1567931804786626,0,160.37356435333768,0,0.0,0.09154323137594284
2019-12-31,122.84232407248132,1.2499004226632975,0,161.90852191534182,0,0.0,0.09911763041701792
